1.0005677229331673 - Periods: 230 : 50 : 50, transaction count: 12065.0, delay: 1
1.0005676898820686 - Periods: 230 : 54 : 54, transaction count: 11543.0, delay: 0
1.0005672615901031 - Periods: 230 : 58 : 52, transaction count: 11631.0, delay: 2
1.000567252017049 - Periods: 227 : 56 : 54, transaction count: 11492.0, delay: 0
1.0005671433051726 - Periods: 230 : 57 : 52, transaction count: 11683.0, delay: 2
1.0005670989679103 - Periods: 227 : 56 : 52, transaction count: 11562.0, delay: 0
1.000566994385767 - Periods: 232 : 58 : 50, transaction count: 11685.0, delay: 2
1.0005669352086062 - Periods: 229 : 52 : 50, transaction count: 12062.0, delay: 2
1.000566922951407 - Periods: 230 : 56 : 50, transaction count: 11826.0, delay: 2
1.000566815353025 - Periods: 229 : 54 : 53, transaction count: 11843.0, delay: 2
1.0005665237653252 - Periods: 230 : 52 : 50, transaction count: 12042.0, delay: 2
1.0005665162709532 - Periods: 227 : 56 : 52, transaction count: 11834.0, delay: 2
1.0005664875562128 - Periods: 230 : 58 : 54, transaction count: 11420.0, delay: 1
1.0005664204493045 - Periods: 232 : 57 : 51, transaction count: 11662.0, delay: 2
1.0005663000940572 - Periods: 227 : 55 : 52, transaction count: 11890.0, delay: 2
1.0005662473162906 - Periods: 231 : 52 : 51, transaction count: 11981.0, delay: 2
1.0005661665080239 - Periods: 230 : 58 : 51, transaction count: 11566.0, delay: 1
1.0005661603690403 - Periods: 229 : 58 : 54, transaction count: 11440.0, delay: 1
1.0005661387503346 - Periods: 232 : 55 : 55, transaction count: 11520.0, delay: 1
1.0005659862745795 - Periods: 232 : 56 : 54, transaction count: 11487.0, delay: 1
1.000565623245702 - Periods: 229 : 54 : 54, transaction count: 11810.0, delay: 2
1.000565571481709 - Periods: 229 : 53 : 53, transaction count: 11917.0, delay: 2
1.0005655541859977 - Periods: 230 : 56 : 52, transaction count: 11742.0, delay: 2
1.000565373881793 - Periods: 232 : 54 : 53, transaction count: 11761.0, delay: 2
1.0005653269447268 - Periods: 228 : 56 : 55, transaction count: 11557.0, delay: 1
1.0005651757576 - Periods: 229 : 56 : 50, transaction count: 11735.0, delay: 1
1.0005651670971976 - Periods: 231 : 58 : 51, transaction count: 11646.0, delay: 2
1.0005651168032674 - Periods: 228 : 54 : 50, transaction count: 11858.0, delay: 1
1.0005650928777527 - Periods: 231 : 57 : 50, transaction count: 11745.0, delay: 2
1.0005649684739673 - Periods: 231 : 57 : 50, transaction count: 11636.0, delay: 1
1.0005649425226908 - Periods: 230 : 57 : 55, transaction count: 11444.0, delay: 1
1.0005649220649206 - Periods: 228 : 58 : 54, transaction count: 11477.0, delay: 1
1.0005648111563037 - Periods: 231 : 54 : 53, transaction count: 11785.0, delay: 2
1.0005647468334466 - Periods: 231 : 54 : 54, transaction count: 11757.0, delay: 2
